Message,True_Category
"Why is there a $50 copay charge on my account?","Billing"
"I need to set up a payment plan for my last visit.","Billing"
"My insurance was supposed to cover the bloodwork, but I got a bill.","Billing"
"Can you send me an itemized receipt for my surgery on the 14th?","Billing"
"I think I was double-charged for my X-ray.","Billing"
"How much will my upcoming MRI cost out-of-pocket?","Billing"
"The billing statement I received in the mail has the wrong mailing address.","Billing"
"Do you accept Blue Cross Blue Shield for the dermatology clinic?","Billing"
"I mailed a check last week, has it been posted to my account yet?","Billing"
"I am disputing the charge from Dr. Miller, I never saw him that day.","Billing"
"I need to change my appointment from Tuesday to Thursday.","Scheduling"
"Is Dr. Smith accepting new patients for annual physicals?","Scheduling"
"Can I push my 9 AM checkup to the afternoon?","Scheduling"
"I need to cancel my follow-up next week, I'll be out of town.","Scheduling"
"Please schedule me for the earliest available MRI slot.","Scheduling"
"How long is the waitlist to see the rheumatologist?","Scheduling"
"I'd like to book a telehealth visit for my daughter.","Scheduling"
"What are the clinic's operating hours on Saturdays?","Scheduling"
"Can I get a reminder call before my appointment on the 12th?","Scheduling"
"I need to schedule a post-op checkup for exactly two weeks from today.","Scheduling"
"What do these lab results mean? My iron looks low.","Clinical"
"My throat is still really sore after finishing the antibiotics.","Clinical"
"I need a refill on my lisinopril, pharmacy says I have zero refills left.","Clinical"
"Can the doctor write a note for me to return to work?","Clinical"
"I've been feeling dizzy since I started taking the new medication.","Clinical"
"Does my son need another booster shot before school starts?","Clinical"
"I have a mild fever and a cough, should I come in or just rest?","Clinical"
"Can you send my prescription to the CVS on Main Street instead?","Clinical"
"I accidentally took a double dose of my blood pressure medicine, is that okay?","Clinical"
"The cast on my arm feels way too tight and my fingers are tingling.","Clinical"
"I can't log in to see my labs.","IT_Support"
"The portal keeps giving me a 404 error when I click on 'My Chart'.","IT_Support"
"How do I reset my password? I forgot it.","IT_Support"
"The app keeps crashing every time I try to open a message.","IT_Support"
"I changed my email address but the system won't let me update my profile.","IT_Support"
"The multi-factor authentication text message isn't coming through to my phone.","IT_Support"
"How do I download my health records to a PDF? The button is broken.","IT_Support"
"My account is locked because I guessed the password too many times.","IT_Support"
"The portal interface is showing up in Spanish and I don't know how to switch it back to English.","IT_Support"
"I keep getting logged out automatically after only two minutes.","IT_Support"
"The doctor told me to take this new pill, but the app won't let me request a refill.","IT_Support"
"I am trying to upload a picture of this strange rash on my arm, but the upload button is greyed out. My arm is very itchy.","Clinical"
"I want to schedule my annual physical, but only if I know how much it will cost with my new Aetna insurance.","Billing"
"I need to reschedule my physical, and also my knee hurts a lot today.","Clinical"
"I booked an appointment for tomorrow, but I didn't get a confirmation email. Can you check if I'm on the calendar?","Scheduling"
"I'm trying to pay my bill online but the credit card form keeps freezing.","IT_Support"
"I need a refill of my inhaler, and I also need to know if you guys take Medicaid now.","Clinical"
"My chest has been hurting really badly for the last hour and I can't catch my breath. Do I need an appointment?","Clinical"
"The Zoom link for my telehealth appointment isn't working and the doctor is waiting for me.","IT_Support"
"Can I move my surgery up? The pain is getting worse every day.","Clinical"